ID,Tweet Content
1502, 0
2587, 0
2654, 0
1056, 0
706, 0
107, 1
590, 0
2469, 0
2414, 0
1601, 0
2465, 0
229, 0
916, 0
795, 0
3022, 0
3544, 0
1074, 0
3352, 0
1745, 0
1085, 0
927, 0
3050, 0
1118, 0
643, 0
4768, 0
502, 0
4067, 0
334, 0
4685, 0
487, 0
1963, 0
394, 0
4843, 0
4867, 0
1756, 0
2516, 0
3586, 0
4316, 0
4967, 0
2100, 0
3600, 0
4122, 0
30, 0
66, 1
839, 0
3907, 0
3774, 0
4636, 0
3162, 0
2660, 0
4616, 0
4629, 0
2452, 0
2847, 0
1145, 0
3079, 0
1104, 0
169, 1
1671, 0
2571, 0
2378, 1
4396, 0
4258, 0
3863, 0
24, 0
2634, 0
3341, 0
2216, 0
3683, 0
4725, 0
1908, 0
85, 0
228, 0
297, 0
1002, 0
2139, 0
712, 1
2802, 0
2528, 0
3753, 0
3322, 0
3182, 0
4184, 0
1616, 0
3025, 0
1414, 0
764, 0
656, 0
4798, 0
3850, 0
4154, 0
469, 0
158, 1
1296, 0
498, 0
4741, 0
2941, 0
3457, 0
374, 0
80, 0
